Reviews,Verdict
Nice product....READ MORE,1
Very nice laptopBest for college studentsREAD MORE,1
Nice.READ MORE,1
Very happy by getting this laptop.... It packed very nicely and performance are also very nice... Affordable price.. just go for it... 🤘🤘🌟READ MORE,1
"Nice product, loved using itREAD MORE",1
Great projectREAD MORE,1
ExcellentREAD MORE,1
Battery backup not good not at good pricesREAD MORE,1
"Received it on 6th May, 2021.. I think this is best laptop (with ""the"" features) at this price for daily users like office workers & students..Truely value for money.. just loving it..*14 inch thin & light*Intel i3 11th gen*Backlit Keyboard*Fingerprint Sensor*Security Lock*Office Home and Student 2019*8 GB RAM, 512 GB SSDWhat else do you want at this price!?READ MORE",1
its features are very nice and great it has 8gb ram and 256gb SSD windows 11 home screen and very light laptop and its weight is 1.80kg and MS office 2010 is very sign and lively it is very fun to run and its features  It is also very good thank you flip kart the price is a bit high but it is good according to that.THANKS FLIPKART AND FLIPKART TEAM.READ MORE,1
Best productREAD MORE,1
"It is very good product in this price range,READ MORE",1
"Sound quality not good , apart from sound quality everything else good , overall very good .READ MORE",1
Awesome nothing to sayREAD MORE,1
"Good product,exceptionally good speakers and IPS display.Will update if something goes wrong in long run.READ MORE",1
It's fast and performing well. Backup is avrage.READ MORE,1
Very nice productREAD MORE,1
"I really Love this Laptop. Value for Money in all respect. I bought it after so much digging up through internet , and am happy to made this decision. (Putting this review after 1 week of purchase) . Thanks Flipkart & Asus. I think Asus has raised its standards with this product.READ MORE",1
"Everything works with very fast speed due to i3 11th Gen, 8 Gb RAM and 512 Gb Nvme SSD. FHD display is awesome. Sound quality is also great. Light weight (only 1.4 kg). Battery performance is very good. Backlit keyboard and fingerprint sensor make it more valuable laptop.✍️ Surjya kumar Das, AssamREAD MORE",1
This product was damaged and does not come with a proper display. Please avoid buying from this seller. Waste of both money and time.READ MORE,0
Very happy by getting this laptop.... It packed very nicely and performance are also very nice... Affordable price.. just go for it... 🤘🤘🌟READ MORE,1
Best laptopREAD MORE,1
Really Good.. Antivirus not good enough. Otherwise this is superb ..READ MORE,1
Amazing Experience.....READ MORE,1
Everything is okayREAD MORE,1
Awesome .good laptop in this price range.little small but good .very fast performance.READ MORE,1
don't buySystem heated too quickly.Worst system.No exchange or return availableFlipkart fools us all after buyingREAD MORE,0
"Frist of all I'm impressed with the design, however the trackpad is below average. Performance justify the price. No doubt you can go for this laptop with budget 40kREAD MORE",1
Display started having issues within 2 days returning it.READ MORE,0
Really love this productREAD MORE,1
"Works good, config are great at usage...READ MORE",1
"After 10 days use....overall performance are good in this price 40K, but battery backup disappointed about 3 to 4hr...READ MORE",1
"Hey there I am writing this review after using for 2 weeks1. The laptop is quick and very responsive.2.  started in 12 sec and its fingerprint is very quick3. Display is good for working professional and for editing, watching movies etc4. Battery backup is ok ok around 4 h.5. Value for money. (I got this @35640)5. I am not a Gamer and I did play any games so didn't know about gaming 6. You can do video editor easily.ConsGetting hot very quickly while doing normal work to..The fan is...READ MORE",1
Good productREAD MORE,1
awesome slim body..READ MORE,1
"Just awesome for online class ,daily works.I have never played game,so can't tell about that,looks is great.READ MORE",1
Better built quality than othersREAD MORE,1
"Very nice. Very light weight, good looking and very fast.READ MORE",1
"Nice performance, in this budget very good features laptop. I am recommending to everybody for this one. Really I am happy and satisfied. Value for money and fast delivery service. Thanks FlipkartREAD MORE",1
Over all a good productREAD MORE,1
Bed sestemREAD MORE,1
This is my first laptop that I purchase and that was really have excellent performance  let talk about processor that was good all things are goodREAD MORE,1
Performance is great.But disappointment is battery life.Otherwise this is truly value for money.READ MORE,1
Very nice product. Great value for moneyREAD MORE,1
"Perfect choice for Office, students and business use.🔥🔥🔥🔥🔥#sexy🔥READ MORE",1
SSD makes it fast...A good product for its value. It is a good latpopREAD MORE,1
Good productREAD MORE,1
Nice look and feel. Speed bootup...finger sensor also fastREAD MORE,1
Nice productREAD MORE,1
This is awesome. I love itREAD MORE,1
FYI: This laptop have 2 core 4 threadsREAD MORE,1
A good leptoREAD MORE,1
Blurry screenREAD MORE,0
"In this price segment This is best one 👍i3 , 11gen8gb , 512gbBacklitFingerprintREAD MORE",1
Amazing Experience.....READ MORE,1
"Good morning. It is a nice product.  I used it for a day, and it is strong and muscular.  Works just as a Bugatti but looks a bit like an Audi . You can go for it if budget below 45000. Backlit keyboard is also strong and useful.  Fingerprint scanner is fast and powerful.  So go for it.  But do a bit research befor buying . Thankyou.READ MORE",1
Awesome product ❤️❤️READ MORE,1
"Good morning. It is a nice product.  I used it for a day, and it is strong and muscular.  Works just as a Bugatti but looks a bit like an Audi . You can go for it if budget below 45000. Backlit keyboard is also strong and useful.  Fingerprint scanner is fast and powerful.  So go for it.  But do a bit research befor buying . Thankyou.READ MORE",1
GoodREAD MORE,1
"Excellent performance, lightweight laptop with very good battery life. The 3 year Asus warranty program would be a good idea considering SSD. The size is similar to HP elite books which come with smaller screensREAD MORE",1
Laptop screen is flickering.READ MORE,0
The laptop is pretty smooth and handy as well. Has some fresh features. Does a good job for students.READ MORE,1
"Nice display 4.5 h battery backupPortable14.inch (easy to carry) , lightweightbest for office work,coding & for beginners ..Best laptop in this rangeWith fingerprint alsobut Microsoft has only word,excel,powerpoint for lifetime !!🤧🤧simply go for it!!!🤧Edited ; after 1years of usage..2hrs battery backup only..It has Expandable memory upto (128 Gb) ..i know you don't believe it..but it has 8 slots for expansion ..just go to task manager , click in performance and click on memory ...READ MORE",1
"Writing the review 1 month after using it. I brought this laptop for my work from home purposes and it works smoothly. I use this laptop majorly for web development purposes and have no complaints about it till now. The value for money factor is superb for this one. The system bootup speed is good, no lagging issues faced till now. Healthy battery backup (I didn't faced any problems with that).If you are looking for a laptop in this budget. Go for it.P.S. earlier I was a bit unsure of the b...READ MORE",1
Laptop display is very nice and fast. Battery comes only for 3 hours.Flipkart is  not paying offers for purchase through ICICI BANK debit card.READ MORE,0
Best in segmentREAD MORE,1
Best product Value of moneyREAD MORE,1
Best laptop under 45kScreen-5Keypad-5Sound-4. 5Body material -5Battery backup-4Look-5Overall a good choiceREAD MORE,1
Value for money!READ MORE,1
"In this price segment This is best one 👍i3 , 11gen8gb , 512gbBacklitFingerprintREAD MORE",1
very nice product and very good serviceREAD MORE,1
Best in the market..READ MORE,1
Good productREAD MORE,1
Good product but it is heating on the back side so the overall product is good performance is better but battery is about  5to 6 hrsREAD MORE,1
The best laptop under this price range.READ MORE,1
Just awesome go for it I got it for coding and it's sensible 🥶🥶READ MORE,1
Thanku flipkart nice productREAD MORE,1
"A problem I faced during the primary usage was the keyboard not visible when viewed from various angles, it is because the markings are also grey ,if it was black it might have been more visible ,now the solution is we have to use the laptop very closely so the keyboard comes in direct eyesight.If u are a user that keeps your laptop at some distance and use it might become difficult to type. Overall bulit looks fine ,startup time was 1.8 sec , fingerprint sensor is good , display looks good.m...READ MORE",1
Display is good Performance is goodDesign is awesome 😎Battery 🔋 5 to 6 hoursValue of money.READ MORE,1
NiceREAD MORE,1
OkREAD MORE,1
overall good laptop Thanks flipkartREAD MORE,1
Nice laptop . The look is awesome. Though plastic is used but it is a good quality plastic. The keyboard is very clicky and the backlit keyboard is extremely good. The photo that i have shared is the middle backlit u can go also one level up than that. Ya it is not for gaming. The display is also very good.READ MORE,1
"Bought it for light weight tasks - watching video, Netflix, YouTube, and MS Office work. It's been great for past couple of weeks. Enjoying the Full HD screen. Only con with the screen is that it reflects light so best to turn your screen where the light source falls behind the screen. Waiting for Windows 11 hope it will handle it well.READ MORE",1
ExcellentREAD MORE,1
A great laptop at such priceREAD MORE,1
"I am using this from last 1 month and this is great experience , it fullfill my all expectations , i am not a heavy user but is best for simple workREAD MORE",1
Best laptop at 40000READ MORE,1
Very good prodect but battery performance only goodREAD MORE,1
"So smooth...just awesomeDoesn't take time booting up.Backlight keyboard is awesome. Light to carry.No lag while running multiple applications.But again I am a limited user, I just use it for browsing and minor applications. So can't talk much on gaming or other high end applications.READ MORE",1
"Everything good , but the only problem i faced is its a metal body so it scratch easily. I have found 4 - 5 small scratches in 2 weeks, but i didn't know how it got scratches. So buy a skin and protect it. Otherwise its a very good purchase 👍READ MORE",1
Product is best.but battery backup is lowREAD MORE,1
"We bought Two! That itself should tell you how happy we are with this product! An outstanding machine! Superb build quality, ultra fast response, fantastic features, hyper smooth functioning. You cannot get a better machine (branded) at this price. Go for it without a second thought!READ MORE",1
"Product all over good but bettery is little bit poor, performance also to much goodREAD MORE",1
Super laptop.performance is good.value for moneyREAD MORE,1
Running wellREAD MORE,1
Great productREAD MORE,1
Very stylish and slim design . System speed is very very good . It boot up in 5 seconds . Very easy to perform multi tasking . Till now not faced any lag . Battery backup is also 5 hours on moderate usage .There is no keyboard backlight . Web camera quality is average Only 195gb space is available for user . Rest is used by Windows 10 and system apps .READ MORE,1
Great productREAD MORE,1
GoodREAD MORE,1
Good productREAD MORE,1
"Perfect choice for Office, students and business use.🔥🔥🔥🔥🔥#sexy🔥READ MORE",1
Battery backup not good not at good pricesREAD MORE,1
"I have purchased this product one month ago . 1.I didn't face any issue with the performance or getting laptop hang or overheated .Overall performance is very good .2.Battery backup that we are getting around 5 hours . When it comes to charging , it is getting charged 75% within one hour . Overall battery is very good.3.Design of the laptop is quite look so awesome with color, light weight laptop 4. Display of the laptop is around 14 inches that we can HD videos quality . 5. Reboot of t...READ MORE",1
Mind blowing purchaseREAD MORE,1
Good as expectedREAD MORE,1
GoodREAD MORE,1
One of the best laptops at this budget. I got this for 44000 Rupees and it's the best in segment. If you have budget around 40k then this is the best product for you. I researched a lot about laptops and finally landed on this one.READ MORE,1
Good productREAD MORE,1
Good enough at that price pointREAD MORE,1
I love it but battery performance is just good and charging problemREAD MORE,1
Over all good 👍 performanceREAD MORE,1
SSD makes it fast...A good product for its value. It is a good latpopREAD MORE,1
Great laptop for coding and browsing with all the required specifications.READ MORE,1
"I am using lenovo 14 inch i3 8th gen 8gb RAM 256 SSD and comparing this model of Asus with it:PROs:1. PerformanceCONs: 1. BATTERY : Only 2 to 3 hrs at max which is great disappointment at this price point. The claim of ""Long Lasting Battery"" is just absolute FALSE.2. SCREEN : it has little yellow tint and looks very dull.Conclusion: Not at all worth at this price point. Go for HPREAD MORE",0
Value for money very thin and attractiveREAD MORE,1
Great laptop at this price rangeREAD MORE,1
Very smart product Thankyou FlipkartREAD MORE,1
"Got it for - 39,990Performance - is excellentDisplay - is greatBattery - is ok ok u can get 4-5 hrs depending on usageDesign - is good, light weightOverall value for money deal around 40kTip : U can extend product warranty to 2 years by going through asuspromo.in website by paying rs - 99.0READ MORE",1
Very good quality laptop and aslo come with ms office student version 2021READ MORE,1
Good Product but heavy software not working fine and filmora 9 use battery low very fastREAD MORE,0
NiceREAD MORE,1
"good product, value for moneyREAD MORE",1
Go for it gyaREAD MORE,1
Value for moneyREAD MORE,1
GoodREAD MORE,1
Better built quality than othersREAD MORE,1
Its many scratches... And old laptopREAD MORE,0
Best laptop I bought for the money it comes in.READ MORE,1
"It is a good one, I baught it for 44000/- which is costly if you look 3 months before price, which was around 38000-39000. But as of now this is the best laptop in this segment and in this price.READ MORE",1
Best in Performance Fingerprint Scanner Backlit Keyboard in this price segment  Thank you Flipkart and AsusREAD MORE,1
Better built quality than othersREAD MORE,1
Nice productREAD MORE,1
"Amazing laptop,Highly recommended for studentsREAD MORE",1
You can go for it.... ✌✌👍👍READ MORE,1
Ultimate laptopREAD MORE,1
Very smart product Thankyou FlipkartREAD MORE,1
